method,subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS
MES,12,600000,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",3602,761,274139,289180,1.0,1.0,1.0,1.0
AV,1,1000000,[0],724,724,261726,261726,0.20099944475291504,0.9513797634691196,0.9547200507771605,0.9050625907739125
greedy-AV/cost,12,600000,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",3602,761,274139,289180,1.0,1.0,1.0,1.0
greedy-AV/cost^2,12,600000,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",3602,761,274139,289180,1.0,1.0,1.0,1.0
greedy-CC,1,1000000,[0],724,724,261726,261726,0.20099944475291504,0.9513797634691196,0.9547200507771605,0.9050625907739125
greedy-PAV,1,1000000,[0],724,724,261726,261726,0.20099944475291504,0.9513797634691196,0.9547200507771605,0.9050625907739125
PAIRS-AV,12,600000,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",3602,761,274139,289180,1.0,1.0,1.0,1.0
PAIRS-CC,12,600000,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",3602,761,274139,289180,1.0,1.0,1.0,1.0
CONS-AV,12,600000,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",3602,761,274139,289180,1.0,1.0,1.0,1.0
CONS-CC,10,515000,"[1, 2, 3, 5, 6, 8, 9, 10, 11, 12]",2952,761,264079,289180,0.8195446973903387,1.0,0.9633032877481862,1.0
