method,committee,k,alpha_PAIRS,alpha_CONS,alpha_EJR
MES,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12]",12,0.997332306592228,0.9785719811247776,1.0
AV,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12]",12,0.997332306592228,0.9785719811247776,1.0
greedy-AV/cost,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12]",12,0.997332306592228,0.9785719811247776,1.0
greedy-AV/cost^2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12]",12,0.997332306592228,0.9785719811247776,1.0
greedy-CC,"[0, 1, 4, 5, 7, 9]",6,0.994472099227194,1.0,1.0
greedy-PAV,"[0, 1, 2, 3, 4, 5, 9]",7,1.0,0.992831541218638,1.0
PAIRS-AV,"[0, 1, 2, 3, 4, 5, 9]",7,1.0,0.992831541218638,1.0
PAIRS-CC,"[0, 1, 2, 3, 4, 5, 9]",7,1.0,0.992831541218638,1.0
CONS-AV,"[1, 2, 4, 5, 7, 8, 9, 10]",8,0.9632023321690822,1.0,1.0
CONS-CC,"[1, 2, 4, 5, 7, 8, 9, 10]",8,0.9632023321690822,1.0,1.0
